project_id,name,client,start_date,deadline
1,Project Phoenix,ABC Company,01-01-2022,03-31-2022
2,Project Everest,XYZ Corporation,04-15-2022,07-15-2022
3,Project Odyssey,123 Industries,06-01-2022,09-30-2022
4,Project Aurora,Acme Inc.,08-10-2022,12-31-2022
5,Project Quantum,Blue Sky Enterprises,10-01-2022,01-31-2023
6,Project Horizon,GlobalTech Solutions,12-15-2022,03-15-2023
7,Project Titan,Superior Systems,02-01-2023,05-15-2023
8,Project Orion,Innovative Technologies,04-01-2023,07-31-2023
9,Project Galaxy,Prime Innovations,06-01-2023,09-30-2023
10,Project Odyssey,ABC Company,08-01-2023,11-30-2023
11,Project Atlas,XYZ Corporation,10-01-2023,01-31-2024
12,Project Nimbus,123 Industries,01-01-2024,04-30-2024
13,Project Zenith,Acme Inc.,03-01-2024,06-30-2024
14,Project Eclipse,Blue Sky Enterprises,05-01-2024,08-31-2024
15,Project Endeavor,GlobalTech Solutions,07-01-2024,10-31-2024
16,Project Stellar,Superior Systems,09-01-2024,12-31-2024
17,Project Nova,Innovative Technologies,01-01-2025,04-30-2025
18,Project Alpha,Prime Innovations,03-01-2025,06-30-2025
19,Project Omega,ABC Company,05-01-2025,08-31-2025
20,Project Zen,XYZ Corporation,07-01-2025,10-31-2025
